분류,URI,메소드,기능
차량,/cars,POST,차량 등록
차량,/cars,GET,차량 목록 조회
차량,/cars/{carId},PATCH,차량 수정
차량,/cars/{carId},DELETE,차량 삭제
차량,/cars/{carId},GET,차량 상세 정보 조회
차량,/cars/upload,POST,차량 데이터 대용량 업로드
차량,/cars/models,GET,차량 모델 목록 조회
계약,/contracts,POST,계약 등록
계약,/contracts,GET,계약 목록 조회
계약,/contracts/{contractId},PATCH,계약 수정
계약,/contracts/{contractId},DELETE,계약 삭제
계약,/contracts/cars,GET,계약용 차량 목록 조회
계약,/contracts/customers,GET,계약용 고객 목록 조회
계약,/contracts/users,GET,계약용 유저 목록 조회
고객,/customers,POST,고객 등록
고객,/customers,GET,고객 목록 조회
고객,/customers/{customerId},PATCH,고객 수정
고객,/customers/{customerId},DELETE,고객 삭제
고객,/customers/{customerId},GET,고객 상세 정보 조회
고객,/customers/upload,POST,고객 데이터 대용량 업로드
유저,/users,POST,회원가입
인증,/auth/login,POST,로그인
인증,/auth/refresh,POST,토큰 갱신
유저,/users/me,GET,내 정보 조회
유저,/users/me,PATCH,내 정보 수정
유저,/users/me,DELETE,회원 탈퇴
유저,/users/{userId},DELETE,유저 삭제
대시보드,/dashboard,GET,통계 조회
이미지,/images/upload,POST,이미지 URL 생성
,,,
회사,/companies,POST,회사 등록
회사,/companies,GET,회사 목록 조회
회사,/companies/users,GET,회사별 유저 조회
회사,/companies/{companyId},PATCH,회사 수정
회사,/companies/{companyId},DELETE,회사 삭제
계약서,/contractDocuments,GET,계약서 업로드 시 계약 목록 조회
계약서,/contractDocuments/draft,GET,계약서 추가 시 계약 목록 조회
계약서,/contractDocuments/upload,POST,계약서 업로드
계약서,/contractDocuments/{contractDocumentId}/download,GET,계약서 다운로드
